,p_win_stay,p_loss_shift,env,subj,night,negLL
77,0.7090909482939055,0.33999996112321657,Volatile,22,4,65.90790130751304
78,0.49999999877254303,0.333333299743729,Volatile,23,1,12.49019648345775
79,0.5076922919550633,0.5890410839306564,Volatile,23,2,95.17600628493892
80,0.3999999756531583,0.6666666938603955,Volatile,23,3,38.52339460952136
81,0.6603773880268555,0.3571428304014319,Volatile,23,4,80.27767928665017
82,0.8157895318100493,0.4270833148575548,Volatile,24,1,168.0349856714167
83,0.8461539162889635,0.343434311214573,Volatile,24,2,81.12215201901526
84,0.9736843118693351,0.015384518390070396,Volatile,24,3,10.484092890525831
85,0.9285715072107337,0.19298238657147082,Volatile,24,4,106.1865718681137
86,0.8571429229505224,0.368421017480337,Volatile,25,1,18.93885859991753
87,0.5918367513633251,0.5600000317184773,Volatile,25,2,68.12258725991376
